"","subject","activity","mean_fast_fourier_transform_bodyaccjerk_minus_mean_minus_x","mean_fast_fourier_transform_bodyaccjerk_minus_mean_minus_y","mean_fast_fourier_transform_bodyaccjerk_minus_mean_minus_z","mean_fast_fourier_transform_bodyaccjerk_minus_std_minus_x","mean_fast_fourier_transform_bodyaccjerk_minus_std_minus_y","mean_fast_fourier_transform_bodyaccjerk_minus_std_minus_z","mean_fast_fourier_transform_bodyaccjerk_minus_mean_freq_minus_x","mean_fast_fourier_transform_bodyaccjerk_minus_mean_freq_minus_y","mean_fast_fourier_transform_bodyaccjerk_minus_mean_freq_minus_z"
"1",7,"WALKING",-0.656713524546605,-0.628961179980356,-0.743608246170053,-0.654979816705833,-0.612243590244114,-0.780928428167213,-0.0477062917542324,-0.213392904926883,-0.123828014584147
"2",21,"WALKING",-0.656713524546605,-0.628961179980356,-0.743608246170053,-0.654979816705833,-0.612243590244114,-0.780928428167213,-0.0477062917542324,-0.213392904926883,-0.123828014584147
"3",18,"WALKING",-0.656713524546605,-0.628961179980356,-0.743608246170053,-0.654979816705833,-0.612243590244114,-0.780928428167213,-0.0477062917542324,-0.213392904926883,-0.123828014584147
"4",11,"WALKING",-0.656713524546605,-0.628961179980356,-0.743608246170053,-0.654979816705833,-0.612243590244114,-0.780928428167213,-0.0477062917542324,-0.213392904926883,-0.123828014584147
"5",20,"WALKING",-0.656713524546605,-0.628961179980356,-0.743608246170053,-0.654979816705833,-0.612243590244114,-0.780928428167213,-0.0477062917542324,-0.213392904926883,-0.123828014584147
"6",22,"WALKING",-0.656713524546605,-0.628961179980356,-0.743608246170053,-0.654979816705833,-0.612243590244114,-0.780928428167213,-0.0477062917542324,-0.213392904926883,-0.123828014584147
"7",26,"WALKING",-0.656713524546605,-0.628961179980356,-0.743608246170053,-0.654979816705833,-0.612243590244114,-0.780928428167213,-0.0477062917542324,-0.213392904926883,-0.123828014584147
"8",6,"WALKING",-0.656713524546605,-0.628961179980356,-0.743608246170053,-0.654979816705833,-0.612243590244114,-0.780928428167213,-0.0477062917542324,-0.213392904926883,-0.123828014584147
"9",19,"WALKING",-0.656713524546605,-0.628961179980356,-0.743608246170053,-0.654979816705833,-0.612243590244114,-0.780928428167213,-0.0477062917542324,-0.213392904926883,-0.123828014584147
"10",14,"WALKING",-0.656713524546605,-0.628961179980356,-0.743608246170053,-0.654979816705833,-0.612243590244114,-0.780928428167213,-0.0477062917542324,-0.213392904926883,-0.123828014584147
"11",29,"WALKING",-0.656713524546605,-0.628961179980356,-0.743608246170053,-0.654979816705833,-0.612243590244114,-0.780928428167213,-0.0477062917542324,-0.213392904926883,-0.123828014584147
"12",27,"WALKING",-0.656713524546605,-0.628961179980356,-0.743608246170053,-0.654979816705833,-0.612243590244114,-0.780928428167213,-0.0477062917542324,-0.213392904926883,-0.123828014584147
"13",4,"WALKING",-0.656713524546605,-0.628961179980356,-0.743608246170053,-0.654979816705833,-0.612243590244114,-0.780928428167213,-0.0477062917542324,-0.213392904926883,-0.123828014584147
"14",3,"WALKING",-0.656713524546605,-0.628961179980356,-0.743608246170053,-0.654979816705833,-0.612243590244114,-0.780928428167213,-0.0477062917542324,-0.213392904926883,-0.123828014584147
"15",30,"WALKING",-0.656713524546605,-0.628961179980356,-0.743608246170053,-0.654979816705833,-0.612243590244114,-0.780928428167213,-0.0477062917542324,-0.213392904926883,-0.123828014584147
"16",13,"WALKING",-0.656713524546605,-0.628961179980356,-0.743608246170053,-0.654979816705833,-0.612243590244114,-0.780928428167213,-0.0477062917542324,-0.213392904926883,-0.123828014584147
"17",9,"WALKING",-0.656713524546605,-0.628961179980356,-0.743608246170053,-0.654979816705833,-0.612243590244114,-0.780928428167213,-0.0477062917542324,-0.213392904926883,-0.123828014584147
"18",12,"WALKING",-0.656713524546605,-0.628961179980356,-0.743608246170053,-0.654979816705833,-0.612243590244114,-0.780928428167213,-0.0477062917542324,-0.213392904926883,-0.123828014584147
"19",1,"WALKING",-0.656713524546605,-0.628961179980356,-0.743608246170053,-0.654979816705833,-0.612243590244114,-0.780928428167213,-0.0477062917542324,-0.213392904926883,-0.123828014584147
"20",8,"WALKING",-0.656713524546605,-0.628961179980356,-0.743608246170053,-0.654979816705833,-0.612243590244114,-0.780928428167213,-0.0477062917542324,-0.213392904926883,-0.123828014584147
"21",23,"WALKING",-0.656713524546605,-0.628961179980356,-0.743608246170053,-0.654979816705833,-0.612243590244114,-0.780928428167213,-0.0477062917542324,-0.213392904926883,-0.123828014584147
"22",25,"WALKING",-0.656713524546605,-0.628961179980356,-0.743608246170053,-0.654979816705833,-0.612243590244114,-0.780928428167213,-0.0477062917542324,-0.213392904926883,-0.123828014584147
"23",5,"WALKING",-0.656713524546605,-0.628961179980356,-0.743608246170053,-0.654979816705833,-0.612243590244114,-0.780928428167213,-0.0477062917542324,-0.213392904926883,-0.123828014584147
"24",28,"WALKING",-0.656713524546605,-0.628961179980356,-0.743608246170053,-0.654979816705833,-0.612243590244114,-0.780928428167213,-0.0477062917542324,-0.213392904926883,-0.123828014584147
"25",10,"WALKING",-0.656713524546605,-0.628961179980356,-0.743608246170053,-0.654979816705833,-0.612243590244114,-0.780928428167213,-0.0477062917542324,-0.213392904926883,-0.123828014584147
"26",24,"WALKING",-0.656713524546605,-0.628961179980356,-0.743608246170053,-0.654979816705833,-0.612243590244114,-0.780928428167213,-0.0477062917542324,-0.213392904926883,-0.123828014584147
"27",15,"WALKING",-0.656713524546605,-0.628961179980356,-0.743608246170053,-0.654979816705833,-0.612243590244114,-0.780928428167213,-0.0477062917542324,-0.213392904926883,-0.123828014584147
"28",16,"WALKING",-0.656713524546605,-0.628961179980356,-0.743608246170053,-0.654979816705833,-0.612243590244114,-0.780928428167213,-0.0477062917542324,-0.213392904926883,-0.123828014584147
"29",2,"WALKING",-0.656713524546605,-0.628961179980356,-0.743608246170053,-0.654979816705833,-0.612243590244114,-0.780928428167213,-0.0477062917542324,-0.213392904926883,-0.123828014584147
"30",17,"WALKING",-0.656713524546605,-0.628961179980356,-0.743608246170053,-0.654979816705833,-0.612243590244114,-0.780928428167213,-0.0477062917542324,-0.213392904926883,-0.123828014584147
"31",3,"WALKING_UPSTAIRS",-0.656713524546605,-0.628961179980356,-0.743608246170053,-0.654979816705833,-0.612243590244114,-0.780928428167213,-0.0477062917542324,-0.213392904926883,-0.123828014584147
"32",1,"WALKING_UPSTAIRS",-0.656713524546605,-0.628961179980356,-0.743608246170053,-0.654979816705833,-0.612243590244114,-0.780928428167213,-0.0477062917542324,-0.213392904926883,-0.123828014584147
"33",21,"WALKING_UPSTAIRS",-0.656713524546605,-0.628961179980356,-0.743608246170053,-0.654979816705833,-0.612243590244114,-0.780928428167213,-0.0477062917542324,-0.213392904926883,-0.123828014584147
"34",23,"WALKING_UPSTAIRS",-0.656713524546605,-0.628961179980356,-0.743608246170053,-0.654979816705833,-0.612243590244114,-0.780928428167213,-0.0477062917542324,-0.213392904926883,-0.123828014584147
"35",13,"WALKING_UPSTAIRS",-0.656713524546605,-0.628961179980356,-0.743608246170053,-0.654979816705833,-0.612243590244114,-0.780928428167213,-0.0477062917542324,-0.213392904926883,-0.123828014584147
"36",20,"WALKING_UPSTAIRS",-0.656713524546605,-0.628961179980356,-0.743608246170053,-0.654979816705833,-0.612243590244114,-0.780928428167213,-0.0477062917542324,-0.213392904926883,-0.123828014584147
"37",22,"WALKING_UPSTAIRS",-0.656713524546605,-0.628961179980356,-0.743608246170053,-0.654979816705833,-0.612243590244114,-0.780928428167213,-0.0477062917542324,-0.213392904926883,-0.123828014584147
"38",4,"WALKING_UPSTAIRS",-0.656713524546605,-0.628961179980356,-0.743608246170053,-0.654979816705833,-0.612243590244114,-0.780928428167213,-0.0477062917542324,-0.213392904926883,-0.123828014584147
